Orig,Dest,Dist
E02000977,E02000001,2976.383917
E02000977,E02000002,20942.35296
E02000977,E02000003,20446.7013
E02000977,E02000004,22175.63316
E02000977,E02000005,20110.82294
E02000977,E02000007,20939.43519
E02000977,E02000008,19306.83928
E02000977,E02000009,18137.89363
E02000977,E02000010,20036.27845
E02000977,E02000011,21410.13796
E02000977,E02000012,16619.21383
E02000977,E02000013,18195.83317
E02000977,E02000014,19596.35658
E02000977,E02000015,20797.78923
E02000977,E02000016,14916.62374
E02000977,E02000017,15735.4427
E02000977,E02000018,17361.64115
E02000977,E02000019,18753.00884
E02000977,E02000020,16636.4665
E02000977,E02000021,20023.26635
E02000977,E02000022,15074.94495
E02000977,E02000023,17233.95238
E02000977,E02000024,17383.62293
E02000977,E02000025,16706.31011
E02000977,E02000026,15655.29065
E02000977,E02000027,16047.92949
E02000977,E02000028,15483.52706
E02000977,E02000029,15111.35365
E02000977,E02000030,15927.67533
E02000977,E02000031,14176.79703
E02000977,E02000032,13759.25095
E02000977,E02000033,13225.08925
E02000977,E02000034,12965.90654
E02000977,E02000035,13171.64118
E02000977,E02000036,15656.76684
E02000977,E02000037,17021.78614
E02000977,E02000038,12068.50372
E02000977,E02000039,14131.22699
E02000977,E02000040,13503.45308
E02000977,E02000041,15201.3907
E02000977,E02000042,11969.04672
E02000977,E02000043,12524.32558
E02000977,E02000044,14118.91941
E02000977,E02000045,11041.64731
E02000977,E02000046,11119.34103
E02000977,E02000047,13823.66138
E02000977,E02000048,12068.80619
E02000977,E02000049,13083.46025
E02000977,E02000050,10607.04404
E02000977,E02000051,10634.62628
E02000977,E02000052,9622.309595
E02000977,E02000053,12327.117
E02000977,E02000054,11638.78014
E02000977,E02000055,10883.46055
E02000977,E02000056,8728.481489
E02000977,E02000057,10198.48276
E02000977,E02000058,9387.285746
E02000977,E02000059,10974.04359
E02000977,E02000060,9443.043075
E02000977,E02000061,8123.916054
E02000977,E02000062,9202.338428
E02000977,E02000063,8431.947908
E02000977,E02000064,7541.961219
E02000977,E02000065,18728.97954
E02000977,E02000066,18405.44977
E02000977,E02000067,19862.63393
E02000977,E02000068,21171.01475
E02000977,E02000069,20569.30815
E02000977,E02000070,18801.03105
E02000977,E02000071,20452.95013
E02000977,E02000072,23356.58309
E02000977,E02000073,18531.75903
E02000977,E02000074,22013.96487
E02000977,E02000075,19737.61109
E02000977,E02000077,17788.62194
E02000977,E02000078,21424.42019
E02000977,E02000079,19766.37894
E02000977,E02000080,17426.61898
E02000977,E02000081,21159.41661
E02000977,E02000082,16435.32105
E02000977,E02000083,22743.47545
E02000977,E02000084,19148.57461
E02000977,E02000085,18186.5777
E02000977,E02000086,17549.35388
E02000977,E02000087,21183.12749
E02000977,E02000088,19402.4033
E02000977,E02000089,17178.19692
E02000977,E02000090,18197.83285
E02000977,E02000091,19310.95033
E02000977,E02000092,21017.47139
E02000977,E02000093,13651.53331
E02000977,E02000094,12519.01896
E02000977,E02000095,13263.56206
E02000977,E02000096,14305.52347
E02000977,E02000097,11864.33794
E02000977,E02000098,12815.92716
E02000977,E02000099,13506.87861
E02000977,E02000100,14601.19813
E02000977,E02000101,11480.73956
E02000977,E02000102,10445.06791
E02000977,E02000103,9353.989357
E02000977,E02000104,12565.62276
E02000977,E02000105,13718.13763
E02000977,E02000106,9829.842221
E02000977,E02000107,8031.996613
E02000977,E02000108,14383.38491
E02000977,E02000109,11311.92491
E02000977,E02000110,8481.146228
E02000977,E02000111,12841.94818
E02000977,E02000112,11527.94678
E02000977,E02000113,10087.1822
E02000977,E02000114,7899.27812
E02000977,E02000115,7000.270248
E02000977,E02000116,8298.604118
E02000977,E02000117,9061.369385
E02000977,E02000118,11499.45713
E02000977,E02000119,10006.5984
E02000977,E02000120,5865.313116
E02000977,E02000121,12123.04535
E02000977,E02000122,7056.777981
E02000977,E02000123,8407.373856
E02000977,E02000124,6183.783913
E02000977,E02000125,7252.912243
E02000977,E02000126,5213.31769
E02000977,E02000127,14653.56029
E02000977,E02000128,17153.47236
E02000977,E02000130,11593.30114
E02000977,E02000131,10806.03604
E02000977,E02000132,12603.88699
E02000977,E02000133,17217.78733
