Orig,Dest,Dist
E02000193,E02000001,2145.327407
E02000193,E02000002,19753.74124
E02000193,E02000003,19314.8577
E02000193,E02000004,21166.91468
E02000193,E02000005,19045.82912
E02000193,E02000007,19903.24387
E02000193,E02000008,18281.84163
E02000193,E02000009,17104.29727
E02000193,E02000010,19053.84302
E02000193,E02000011,20449.56154
E02000193,E02000012,15614.59768
E02000193,E02000013,17215.72748
E02000193,E02000014,18649.75292
E02000193,E02000015,19880.27411
E02000193,E02000016,13924.17064
E02000193,E02000017,14745.97698
E02000193,E02000018,16405.13136
E02000193,E02000019,17875.00718
E02000193,E02000020,15776.44733
E02000193,E02000021,19178.98459
E02000193,E02000022,14143.57694
E02000193,E02000023,16353.49208
E02000193,E02000024,16487.15217
E02000193,E02000025,15720.2333
E02000193,E02000026,14575.47005
E02000193,E02000027,15184.8564
E02000193,E02000028,14504.79799
E02000193,E02000029,14065.17889
E02000193,E02000030,15204.34792
E02000193,E02000031,13199.74083
E02000193,E02000032,12621.79337
E02000193,E02000033,12132.508
E02000193,E02000034,11966.10327
E02000193,E02000035,12273.67967
E02000193,E02000036,15179.97383
E02000193,E02000037,16606.09079
E02000193,E02000038,11022.04502
E02000193,E02000039,13593.29541
E02000193,E02000040,12820.65593
E02000193,E02000041,14829.13723
E02000193,E02000042,11067.4259
E02000193,E02000043,11712.97916
E02000193,E02000044,13677.04205
E02000193,E02000045,10006.18458
E02000193,E02000046,10328.13795
E02000193,E02000047,13479.07511
E02000193,E02000048,11474.83067
E02000193,E02000049,12657.1362
E02000193,E02000050,9702.94066
E02000193,E02000051,9963.730123
E02000193,E02000052,8731.144241
E02000193,E02000053,11972.89443
E02000193,E02000054,11197.61563
E02000193,E02000055,10434.83548
E02000193,E02000056,7967.312681
E02000193,E02000057,9752.287935
E02000193,E02000058,8762.170431
E02000193,E02000059,10743.95442
E02000193,E02000060,8957.272589
E02000193,E02000061,7626.151227
E02000193,E02000062,8931.090011
E02000193,E02000063,8119.660725
E02000193,E02000064,7233.122053
E02000193,E02000065,18034.69121
E02000193,E02000066,17785.69984
E02000193,E02000067,19229.24906
E02000193,E02000068,20563.36744
E02000193,E02000069,20009.60375
E02000193,E02000070,18271.6212
E02000193,E02000071,19955.19578
E02000193,E02000072,22842.04803
E02000193,E02000073,18084.66119
E02000193,E02000074,21533.43888
E02000193,E02000075,19292.34006
E02000193,E02000077,17393.91755
E02000193,E02000078,20976.86757
E02000193,E02000079,19402.53716
E02000193,E02000080,17116.00367
E02000193,E02000081,20785.04916
E02000193,E02000082,16164.58219
E02000193,E02000083,22363.9166
E02000193,E02000084,18849.95162
E02000193,E02000085,17954.79983
E02000193,E02000086,17380.15127
E02000193,E02000087,20923.67948
E02000193,E02000088,19218.20694
E02000193,E02000089,17101.16593
E02000193,E02000090,18138.60981
E02000193,E02000091,19249.72511
E02000193,E02000092,20912.71562
E02000193,E02000093,13443.47557
E02000193,E02000094,12281.17516
E02000193,E02000095,13162.79198
E02000193,E02000096,14335.35486
E02000193,E02000097,11764.29043
E02000193,E02000098,12834.44586
E02000193,E02000099,13638.64876
E02000193,E02000100,14767.59332
E02000193,E02000101,11523.35177
E02000193,E02000102,10397.93748
E02000193,E02000103,9244.700871
E02000193,E02000104,12738.242
E02000193,E02000105,13983.92913
E02000193,E02000106,9896.540163
E02000193,E02000107,7944.320461
E02000193,E02000108,14703.14341
E02000193,E02000109,11511.01589
E02000193,E02000110,8508.459935
E02000193,E02000111,13173.04743
E02000193,E02000112,11824.66411
E02000193,E02000113,10299.55399
E02000193,E02000114,8013.586457
E02000193,E02000115,7000.397634
E02000193,E02000116,8498.316084
E02000193,E02000117,9312.183823
E02000193,E02000118,11886.55485
E02000193,E02000119,10435.46924
E02000193,E02000120,5912.42367
E02000193,E02000121,12573.34212
E02000193,E02000122,7235.075283
E02000193,E02000123,8779.845716
E02000193,E02000124,6423.935694
E02000193,E02000125,7598.909254
E02000193,E02000126,5406.033148
E02000193,E02000127,14761.61382
E02000193,E02000128,17218.41294
E02000193,E02000130,12273.54946
E02000193,E02000131,11632.30909
E02000193,E02000132,13197.09216
E02000193,E02000133,17428.90326
E02000193,E02000134,15354.85437
E02000193,E02000135,12599.6136
E02000193,E02000136,19218.3211
E02000193,E02000137,14893.81308
E02000193,E02000138,14439.15239
E02000193,E02000139,13384.597
E02000193,E02000140,20452.74936
E02000193,E02000141,13381.86088
E02000193,E02000142,16646.45783
E02000193,E02000144,16330.17273
E02000193,E02000145,22722.18856
E02000193,E02000146,17559.53124
E02000193,E02000147,16128.2615
E02000193,E02000148,18965.03876
E02000193,E02000149,21159.76761
E02000193,E02000150,15769.41204
E02000193,E02000151,20318.17694
E02000193,E02000152,19097.99105
E02000193,E02000153,17657.77105
E02000193,E02000154,21629.72576
E02000193,E02000155,22642.64379
E02000193,E02000156,17522.54218
E02000193,E02000157,21200.85229
E02000193,E02000158,23398.20922
E02000193,E02000159,20595.47051
E02000193,E02000160,19379.91648
E02000193,E02000161,22839.86186
E02000193,E02000162,23575.93712
E02000193,E02000163,25037.13484
E02000193,E02000165,24756.96054
E02000193,E02000166,5660.735566
E02000193,E02000167,6023.182291
E02000193,E02000168,4326.451625
E02000193,E02000169,6149.326289
E02000193,E02000170,6756.380145
E02000193,E02000171,4552.677344
E02000193,E02000172,3914.179973
E02000193,E02000173,5000.115983
E02000193,E02000174,3473.043651
E02000193,E02000175,5813.29425
E02000193,E02000176,4538.800925
E02000193,E02000177,3720.155381
E02000193,E02000178,6217.996719
E02000193,E02000179,4124.294367
E02000193,E02000180,2936.397546
E02000193,E02000181,5303.100617
E02000193,E02000182,4209.913733
E02000193,E02000183,3210.137446
E02000193,E02000184,2505.699015
E02000193,E02000185,5079.141145
E02000193,E02000186,2229.225692
E02000193,E02000187,1769.5315
E02000193,E02000188,1627.537323
E02000193,E02000189,1076.21512
E02000193,E02000190,860.6973536
E02000193,E02000191,915.1528206
E02000193,E02000192,733.8839886
E02000193,E02000194,11709.19626
E02000193,E02000195,11461.20277
E02000193,E02000196,12088.0527
E02000193,E02000197,12474.32658
E02000193,E02000198,12619.86605
E02000193,E02000199,13019.33241
E02000193,E02000200,13179.33477
E02000193,E02000201,13709.03346
E02000193,E02000202,13303.27793
E02000193,E02000203,13641.56598
E02000193,E02000204,13787.40305
E02000193,E02000206,14389.97749
E02000193,E02000207,14978.09773
E02000193,E02000208,14508.13347
E02000193,E02000209,14616.43034
E02000193,E02000210,15185.63921
E02000193,E02000211,15944.31509
E02000193,E02000212,15384.78811
E02000193,E02000213,15324.13563
E02000193,E02000214,15948.93838
E02000193,E02000215,15780.78486
E02000193,E02000216,16867.40374
E02000193,E02000217,16265.53781
