Orig,Dest,Dist
E02000653,E02000001,4611.224929
E02000653,E02000002,16621.94038
E02000653,E02000003,15756.98166
E02000653,E02000004,16750.02599
E02000653,E02000005,15039.60401
E02000653,E02000007,15685.65442
E02000653,E02000008,14058.4085
E02000653,E02000009,12987.48676
E02000653,E02000010,14556.12036
E02000653,E02000011,15792.08426
E02000653,E02000012,11402.66343
E02000653,E02000013,12777.1846
E02000653,E02000014,13974.34774
E02000653,E02000015,15022.35412
E02000653,E02000016,9756.939426
E02000653,E02000017,10499.15264
E02000653,E02000018,11873.25363
E02000653,E02000019,12888.09881
E02000653,E02000020,10783.35872
E02000653,E02000021,14005.58298
E02000653,E02000022,9604.774878
E02000653,E02000023,11433.27828
E02000653,E02000024,21911.5961
E02000653,E02000025,20870.15347
E02000653,E02000026,19396.08315
E02000653,E02000027,20740.83972
E02000653,E02000028,19722.87168
E02000653,E02000029,19049.10907
E02000653,E02000030,21098.86233
E02000653,E02000031,18474.31952
E02000653,E02000032,17275.67624
E02000653,E02000033,17021.12575
E02000653,E02000034,17219.42991
E02000653,E02000035,17827.72118
E02000653,E02000036,21481.96059
E02000653,E02000037,22967.17128
E02000653,E02000038,16160.82181
E02000653,E02000039,19834.90908
E02000653,E02000040,18845.97053
E02000653,E02000041,21247.91166
E02000653,E02000042,16662.13177
E02000653,E02000043,17506.38507
E02000653,E02000044,20035.61457
E02000653,E02000045,15249.28006
E02000653,E02000046,16216.35924
E02000653,E02000047,19932.35136
E02000653,E02000048,17674.59721
E02000653,E02000049,19043.16452
E02000653,E02000050,15358.05759
E02000653,E02000051,16084.94522
E02000653,E02000052,14472.73177
E02000653,E02000053,18430.85991
E02000653,E02000054,17586.78954
E02000653,E02000055,16827.64548
E02000653,E02000056,14015.37681
E02000653,E02000057,16158.06808
E02000653,E02000058,14987.89753
E02000653,E02000059,17288.53566
E02000653,E02000060,15339.72822
E02000653,E02000061,14026.96562
E02000653,E02000062,15468.63712
E02000653,E02000063,14644.39089
E02000653,E02000064,13769.78778
E02000653,E02000065,12320.54913
E02000653,E02000066,11848.94446
E02000653,E02000067,13313.92175
E02000653,E02000068,14566.6027
E02000653,E02000069,13899.33044
E02000653,E02000070,12104.12109
E02000653,E02000071,13712.89068
E02000653,E02000072,16622.42795
E02000653,E02000073,11755.97057
E02000653,E02000074,15253.36546
E02000653,E02000075,12956.85825
E02000653,E02000077,10983.80322
E02000653,E02000078,14641.12042
E02000653,E02000079,12948.84964
E02000653,E02000080,10604.62661
E02000653,E02000081,14343.47056
E02000653,E02000082,9618.58371
E02000653,E02000083,15927.85845
E02000653,E02000084,12327.90148
E02000653,E02000085,11385.59385
E02000653,E02000086,10788.89683
E02000653,E02000087,14372.5858
E02000653,E02000088,12631.20228
E02000653,E02000089,10517.34792
E02000653,E02000090,11559.62227
E02000653,E02000091,12668.34826
E02000653,E02000092,14319.99759
E02000653,E02000093,19986.00145
E02000653,E02000094,18813.76521
E02000653,E02000095,19744.57223
E02000653,E02000096,20928.94579
