Orig,Dest,Dist
E02000191,E02000001,3031.450995
E02000191,E02000002,20335.78125
E02000191,E02000003,19946.24085
E02000191,E02000004,21879.76571
E02000191,E02000005,19725.9968
E02000191,E02000007,20600.88812
E02000191,E02000008,18988.27967
E02000191,E02000009,17807.14681
E02000191,E02000010,19783.74736
E02000191,E02000011,21189.65419
E02000191,E02000012,16336.94076
E02000191,E02000013,17949.20939
E02000191,E02000014,19398.9002
E02000191,E02000015,20642.30556
E02000191,E02000016,14656.50507
E02000191,E02000017,15478.33118
E02000191,E02000018,17152.16648
E02000191,E02000019,18656.96605
E02000191,E02000020,16568.57368
E02000191,E02000021,19973.59972
E02000191,E02000022,14906.78184
E02000191,E02000023,17136.26093
E02000191,E02000024,15819.13272
E02000191,E02000025,15110.24498
E02000191,E02000026,14038.05602
E02000191,E02000027,14496.63274
E02000191,E02000028,13889.09641
E02000191,E02000029,13499.77297
E02000191,E02000030,14445.95122
E02000191,E02000031,12582.16895
E02000191,E02000032,12136.9517
E02000191,E02000033,11605.6485
E02000191,E02000034,11364.12512
E02000191,E02000035,11603.75782
E02000191,E02000036,14334.09905
E02000191,E02000037,15745.47383
E02000191,E02000038,10455.58337
E02000191,E02000039,12763.97826
E02000191,E02000040,12042.78191
E02000191,E02000041,13957.54136
E02000191,E02000042,10398.57475
E02000191,E02000043,10993.65697
E02000191,E02000044,12820.75135
E02000191,E02000045,9430.263027
E02000191,E02000046,9596.656887
E02000191,E02000047,12600.79941
E02000191,E02000048,10661.57576
E02000191,E02000049,11796.03495
E02000191,E02000050,9033.988748
E02000191,E02000051,9177.054291
E02000191,E02000052,8052.725733
E02000191,E02000053,11095.17191
E02000191,E02000054,10338.49161
E02000191,E02000055,9576.520797
E02000191,E02000056,7216.350584
E02000191,E02000057,8892.272424
E02000191,E02000058,7955.328314
E02000191,E02000059,9844.663093
E02000191,E02000060,8106.125797
E02000191,E02000061,6775.079243
E02000191,E02000062,8035.316038
E02000191,E02000063,7228.88072
E02000191,E02000064,6339.912721
E02000191,E02000065,18881.09348
E02000191,E02000066,18651.39615
E02000191,E02000067,20090.74386
E02000191,E02000068,21430.15857
E02000191,E02000069,20886.92057
E02000191,E02000070,19155.55009
E02000191,E02000071,20843.76899
E02000191,E02000072,23726.69039
E02000191,E02000073,18981.54466
E02000191,E02000074,22424.18451
E02000191,E02000075,20189.00473
E02000191,E02000077,18297.34939
E02000191,E02000078,21872.65165
E02000191,E02000079,20308.45609
E02000191,E02000080,18026.67142
E02000191,E02000081,21689.61161
E02000191,E02000082,17077.60119
E02000191,E02000083,23267.59441
E02000191,E02000084,19761.03716
E02000191,E02000085,18869.02149
E02000191,E02000086,18295.30409
E02000191,E02000087,21836.57771
E02000191,E02000088,20133.26703
E02000191,E02000089,18014.40478
E02000191,E02000090,19051.20291
E02000191,E02000091,20162.55064
E02000191,E02000092,21827.19553
E02000191,E02000093,12543.38216
E02000191,E02000094,11384.19133
E02000191,E02000095,12252.30182
E02000191,E02000096,13420.24311
E02000191,E02000097,10853.20236
E02000191,E02000098,11919.35694
E02000191,E02000099,12725.59605
E02000191,E02000100,13856.0457
E02000191,E02000101,10608.26985
E02000191,E02000102,9483.800664
E02000191,E02000103,8332.865743
E02000191,E02000104,11827.82336
E02000191,E02000105,13081.17661
E02000191,E02000106,8982.158399
E02000191,E02000107,7030.61633
E02000191,E02000108,13806.5778
E02000191,E02000109,10603.33902
E02000191,E02000110,7593.577154
E02000191,E02000111,12279.32065
E02000191,E02000112,10927.46174
E02000191,E02000113,9394.137414
E02000191,E02000114,7102.58347
E02000191,E02000115,6085.491717
E02000191,E02000116,7593.92071
E02000191,E02000117,8412.336445
E02000191,E02000118,11003.4988
E02000191,E02000119,9563.188454
E02000191,E02000120,5000.214078
E02000191,E02000121,11701.67183
E02000191,E02000122,6330.831467
E02000191,E02000123,7900.406593
E02000191,E02000124,5530.170874
E02000191,E02000125,6718.350654
E02000191,E02000126,4510.291639
E02000191,E02000127,15658.89284
E02000191,E02000128,18121.52518
E02000191,E02000130,13022.84502
E02000191,E02000131,12315.48558
E02000191,E02000132,13980.15649
E02000191,E02000133,18312.59649
E02000191,E02000134,16206.66575
E02000191,E02000135,13290.27819
E02000191,E02000136,20115.9493
E02000191,E02000137,15709.56068
E02000191,E02000138,15226.46402
E02000191,E02000139,14122.89391
E02000191,E02000140,21355.01168
E02000191,E02000141,14074.05703
E02000191,E02000142,17503.58987
E02000191,E02000144,17157.12587
E02000191,E02000145,23625.12022
E02000191,E02000146,18401.44194
E02000191,E02000147,16921.2177
E02000191,E02000148,19830.96739
E02000191,E02000149,22049.21425
E02000191,E02000150,16506.8764
E02000191,E02000151,21190.14794
E02000191,E02000152,19942.15115
E02000191,E02000153,18458.51942
E02000191,E02000154,22505.10633
E02000191,E02000155,23527.37
E02000191,E02000156,18271.31759
E02000191,E02000157,22055.72505
E02000191,E02000158,24275.24476
E02000191,E02000159,21407.84599
E02000191,E02000160,20153.32019
E02000191,E02000161,23698.89089
E02000191,E02000162,24396.7103
E02000191,E02000163,25897.85956
E02000191,E02000165,25480.82199
E02000191,E02000166,4965.898341
E02000191,E02000167,5205.223621
E02000191,E02000168,3711.866112
E02000191,E02000169,5273.483035
E02000191,E02000170,5850.675299
E02000191,E02000171,3770.612934
E02000191,E02000172,3205.377566
E02000191,E02000173,4133.461234
E02000191,E02000174,2910.644103
E02000191,E02000175,4907.830124
E02000191,E02000176,3673.132235
E02000191,E02000177,2928.447785
E02000191,E02000178,5303.586584
E02000191,E02000179,3258.002372
E02000191,E02000180,2444.171418
E02000191,E02000181,4390.382203
E02000191,E02000182,3306.983679
E02000191,E02000183,2377.484217
E02000191,E02000184,1890.471447
E02000191,E02000185,4164.453748
E02000191,E02000186,1390.00902
E02000191,E02000187,1335.088041
E02000191,E02000188,798.5142524
E02000191,E02000189,1244.34633
E02000191,E02000190,812.5127141
E02000191,E02000192,1463.437837
E02000191,E02000193,915.1528206
E02000191,E02000194,12323.43433
E02000191,E02000195,12001.43056
E02000191,E02000196,12578.885
E02000191,E02000197,12921.76326
E02000191,E02000198,13176.60335
E02000191,E02000199,13601.16774
E02000191,E02000200,13801.83658
E02000191,E02000201,14358.01779
E02000191,E02000202,13807.48865
E02000191,E02000203,14192.86843
E02000191,E02000204,14257.56987
E02000191,E02000206,14965.40973
E02000191,E02000207,15620.01954
E02000191,E02000208,15021.95029
E02000191,E02000209,15062.66599
E02000191,E02000210,15789.82429
E02000191,E02000211,16631.23531
E02000191,E02000212,15857.06329
E02000191,E02000213,15856.84644
E02000191,E02000214,16581.86208
E02000191,E02000215,16361.83518
E02000191,E02000216,17457.17932
E02000191,E02000217,16757.46398
E02000191,E02000218,18292.89022
E02000191,E02000219,18499.93369
E02000191,E02000220,17306.53862
E02000191,E02000221,18250.87148
E02000191,E02000222,18582.90373
E02000191,E02000223,20323.08021
E02000191,E02000224,19430.79501
E02000191,E02000225,21153.11214
E02000191,E02000226,19681.19545
E02000191,E02000227,20761.52263
E02000191,E02000228,20531.44535
E02000191,E02000229,22394.5061
E02000191,E02000230,20412.74114
E02000191,E02000231,20915.42
E02000191,E02000232,21978.69416
E02000191,E02000233,22153.73457
E02000191,E02000234,22418.64334
E02000191,E02000235,22924.1182
E02000191,E02000236,23624.50668
E02000191,E02000237,24606.06592
E02000191,E02000238,15228.61473
E02000191,E02000239,13678.26307
E02000191,E02000240,16952.71573
E02000191,E02000241,16197.13175
E02000191,E02000242,12538.20555
E02000191,E02000243,14768.25177
E02000191,E02000244,13193.57413
E02000191,E02000245,17482.8248
E02000191,E02000246,18541.21737
E02000191,E02000247,16311.33991
E02000191,E02000248,10973.09979
E02000191,E02000249,15238.59497
E02000191,E02000250,12104.77018
E02000191,E02000251,15901.14765
E02000191,E02000252,8995.353053
E02000191,E02000253,14043.16122
E02000191,E02000254,16615.27347
E02000191,E02000255,13218.28845
E02000191,E02000256,12523.18423
E02000191,E02000257,11205.78189
E02000191,E02000258,9706.933219
E02000191,E02000259,14492.03134
E02000191,E02000260,16539.04172
E02000191,E02000261,8405.580721
E02000191,E02000262,9491.18881
E02000191,E02000263,17591.73968
E02000191,E02000264,10628.93057
E02000191,E02000265,13374.66155
E02000191,E02000266,15550.96898
E02000191,E02000267,14275.27817
E02000191,E02000268,11769.60892
E02000191,E02000269,12639.44529
E02000191,E02000270,9922.411244
E02000191,E02000271,8909.798398
E02000191,E02000272,13781.09252
E02000191,E02000274,18011.47155
E02000191,E02000275,16766.77477
E02000191,E02000276,12583.77615
E02000191,E02000277,18603.92147
E02000191,E02000278,18009.76227
E02000191,E02000279,18435.44309
E02000191,E02000280,17426.96878
E02000191,E02000281,16743.12884
E02000191,E02000282,16935.33266
E02000191,E02000283,16817.71926
E02000191,E02000284,15544.77851
E02000191,E02000285,15744.49949
E02000191,E02000286,15486.51845
E02000191,E02000287,15760.82195
E02000191,E02000288,15435.35025
E02000191,E02000289,14685.37896
E02000191,E02000290,16134.22279
E02000191,E02000291,14372.0682
E02000191,E02000292,14584.85719
E02000191,E02000293,13816.09066
E02000191,E02000294,14426.83776
E02000191,E02000295,13051.23658
E02000191,E02000296,13278.70507
E02000191,E02000297,13134.37107
E02000191,E02000298,12511.85565
E02000191,E02000299,13424.21993
E02000191,E02000300,13024.0206
E02000191,E02000301,13469.01093
E02000191,E02000302,11809.85374
E02000191,E02000303,12006.37845
E02000191,E02000304,11230.06027
E02000191,E02000305,11280.95354
E02000191,E02000306,12235.52047
E02000191,E02000307,11431.98752
E02000191,E02000308,10347.86716
E02000191,E02000309,11421.62829
E02000191,E02000311,10404.34242
E02000191,E02000312,10225.20137
E02000191,E02000313,17401.04102
E02000191,E02000314,16299.27256
E02000191,E02000315,17441.66307
E02000191,E02000316,13414.70701
E02000191,E02000317,13390.51702
E02000191,E02000318,16390.26844
E02000191,E02000319,15589.60092
E02000191,E02000320,17767.28639
E02000191,E02000321,15232.22833
E02000191,E02000323,14826.3336
E02000191,E02000324,12894.98459
E02000191,E02000326,12074.93039
E02000191,E02000327,14111.30664
E02000191,E02000328,11281.7298
E02000191,E02000329,16118.14719
E02000191,E02000331,13152.77359
E02000191,E02000332,15148.60536
E02000191,E02000333,12059.83512
E02000191,E02000334,13440.41582
E02000191,E02000335,15295.49967
E02000191,E02000337,14154.92506
E02000191,E02000339,15300.80363
E02000191,E02000340,16120.34636
E02000191,E02000341,14450.86519
E02000191,E02000342,17144.36646
E02000191,E02000343,16265.29105
E02000191,E02000344,17111.22333
E02000191,E02000345,7297.267239
E02000191,E02000346,6162.41796
E02000191,E02000347,6438.71799
E02000191,E02000348,7059.601705
E02000191,E02000350,6539.201289
E02000191,E02000351,5331.577454
E02000191,E02000352,5607.94246
E02000191,E02000353,5927.447988
E02000191,E02000354,6336.856947
E02000191,E02000355,6943.099559
E02000191,E02000356,5033.266366
E02000191,E02000357,8021.75423
E02000191,E02000358,5388.565993
E02000191,E02000359,7265.732582
E02000191,E02000360,5787.286559
E02000191,E02000361,6167.144667
E02000191,E02000362,7874.956426
E02000191,E02000363,6634.83581
E02000191,E02000364,5268.664228
E02000191,E02000365,4630.828623
E02000191,E02000366,6566.720503
E02000191,E02000367,5707.990239
E02000191,E02000368,4846.686755
E02000191,E02000369,4083.577565
E02000191,E02000370,3251.492222
E02000191,E02000371,3689.646626
E02000191,E02000372,7191.337849
E02000191,E02000373,7093.108396
E02000191,E02000374,7601.998451
E02000191,E02000375,6475.32851
E02000191,E02000376,6991.565475
E02000191,E02000377,7642.162037
E02000191,E02000378,6434.774826
E02000191,E02000379,8148.914237
E02000191,E02000380,7206.473108
E02000191,E02000381,6492.991469
E02000191,E02000382,7947.63398
E02000191,E02000383,6234.487643
E02000191,E02000384,7245.923681
E02000191,E02000385,6612.060252
E02000191,E02000386,6211.75918
E02000191,E02000387,7024.282025
E02000191,E02000388,6247.390451
E02000191,E02000389,7596.240096
E02000191,E02000390,7003.268267
E02000191,E02000391,6489.535949
E02000191,E02000392,7013.208071
E02000191,E02000393,7456.822565
E02000191,E02000394,6556.130123
E02000191,E02000395,7801.894684
E02000191,E02000396,7259.326357
E02000191,E02000397,9325.178821
E02000191,E02000398,10647.26773
E02000191,E02000400,9206.190749
E02000191,E02000401,9578.867097
E02000191,E02000402,9742.773478
E02000191,E02000403,9156.456082
E02000191,E02000404,9097.997841
E02000191,E02000405,8328.930885
E02000191,E02000406,8543.496178
E02000191,E02000407,9115.204835
E02000191,E02000408,9367.688475
E02000191,E02000409,8624.233508
E02000191,E02000410,8105.018168
E02000191,E02000411,9498.567529
E02000191,E02000412,8061.365842
