Orig,Dest,Dist
E02000979,E02000001,3431.794874
E02000979,E02000002,21445.84086
E02000979,E02000003,20891.81986
E02000979,E02000004,22498.82935
E02000979,E02000005,20490.94575
E02000979,E02000007,21290.58821
E02000979,E02000008,19651.155
E02000979,E02000009,18493.1561
E02000979,E02000010,20339.9238
E02000979,E02000011,21691.08809
E02000979,E02000012,16952.41992
E02000979,E02000013,18502.10786
E02000979,E02000014,19869.03246
E02000979,E02000015,21042.00975
E02000979,E02000016,15245.17412
E02000979,E02000017,16058.1052
E02000979,E02000018,17649.39449
E02000979,E02000019,18968.40534
E02000979,E02000020,16843.58184
E02000979,E02000021,20206.60553
E02000979,E02000022,15349.14979
E02000979,E02000023,17456.22446
E02000979,E02000024,18325.58971
E02000979,E02000025,17671.97746
E02000979,E02000026,16640.1051
E02000979,E02000027,16981.34423
E02000979,E02000028,16448.23106
E02000979,E02000029,16090.49968
E02000979,E02000030,16815.46615
E02000979,E02000031,15142.0625
E02000979,E02000032,14752.3331
E02000979,E02000033,14212.77568
E02000979,E02000034,13937.15939
E02000979,E02000035,14118.15075
E02000979,E02000036,16446.61503
E02000979,E02000037,17780.94878
E02000979,E02000038,13049.45184
E02000979,E02000039,14950.99407
E02000979,E02000040,14381.04356
E02000979,E02000041,15944.83428
E02000979,E02000042,12918.16404
E02000979,E02000043,13446.89312
E02000979,E02000044,14897.41487
E02000979,E02000045,12021.46342
E02000979,E02000046,12038.68101
E02000979,E02000047,14558.41478
E02000979,E02000048,12916.96381
E02000979,E02000049,13858.40378
E02000979,E02000050,11559.0193
E02000979,E02000051,11515.85495
E02000979,E02000052,10573.02356
E02000979,E02000053,13072.2219
E02000979,E02000054,12425.87971
E02000979,E02000055,11677.2048
E02000979,E02000056,9646.098002
E02000979,E02000057,10994.69923
E02000979,E02000058,10257.3947
E02000979,E02000059,11666.61663
E02000979,E02000060,10259.8858
E02000979,E02000061,8954.311725
E02000979,E02000062,9927.181313
E02000979,E02000063,9182.223802
E02000979,E02000064,8299.596957
E02000979,E02000065,18793.74593
E02000979,E02000066,18413.04956
E02000979,E02000067,19876.23681
E02000979,E02000068,21161.17292
E02000979,E02000069,20524.43851
E02000979,E02000070,18738.62387
E02000979,E02000071,20361.92496
E02000979,E02000072,23271.00641
E02000979,E02000073,18409.30331
E02000979,E02000074,21906.13995
E02000979,E02000075,19609.97119
E02000979,E02000077,17630.76695
E02000979,E02000078,21293.79961
E02000979,E02000079,19579.82557
E02000979,E02000080,17210.23742
E02000979,E02000081,20976.51271
E02000979,E02000082,16195.02283
E02000979,E02000083,22560.46515
E02000979,E02000084,18917.78384
E02000979,E02000085,17912.53547
E02000979,E02000086,17234.85618
E02000979,E02000087,20919.27267
E02000979,E02000088,19091.91785
E02000979,E02000089,16803.41674
E02000979,E02000090,17807.76389
E02000979,E02000091,18918.75223
E02000979,E02000092,20649.3362
E02000979,E02000093,14319.54489
E02000979,E02000094,13207.14463
E02000979,E02000095,13876.58647
E02000979,E02000096,14839.92025
E02000979,E02000097,12484.40286
E02000979,E02000098,13364.36746
E02000979,E02000099,13984.02019
E02000979,E02000100,15051.34991
E02000979,E02000101,12023.49562
E02000979,E02000102,11046.03105
E02000979,E02000103,9997.340954
E02000979,E02000104,13022.87876
E02000979,E02000105,14108.85349
E02000979,E02000106,10371.93379
E02000979,E02000107,8678.069851
E02000979,E02000108,14734.5453
E02000979,E02000109,11761.28055
E02000979,E02000110,9059.985139
E02000979,E02000111,13194.19736
E02000979,E02000112,11912.49697
E02000979,E02000113,10538.74518
E02000979,E02000114,8436.186293
E02000979,E02000115,7614.956074
E02000979,E02000116,8778.695638
E02000979,E02000117,9499.594338
E02000979,E02000118,11822.79364
E02000979,E02000119,10314.28359
E02000979,E02000120,6477.401556
E02000979,E02000121,12396.83713
E02000979,E02000122,7569.653301
E02000979,E02000123,8773.987956
E02000979,E02000124,6677.605709
E02000979,E02000125,7656.370518
E02000979,E02000126,5762.234779
E02000979,E02000127,14169.84122
E02000979,E02000128,16686.85946
E02000979,E02000130,10793.25905
E02000979,E02000131,9937.616914
E02000979,E02000132,11845.20669
E02000979,E02000133,16660.34612
E02000979,E02000134,14349.87771
E02000979,E02000135,10920.4104
E02000979,E02000136,18592.78536
E02000979,E02000137,13682.17279
E02000979,E02000138,13095.71182
E02000979,E02000139,11855.10766
E02000979,E02000140,19885.0397
E02000979,E02000141,11702.53344
E02000979,E02000142,15667.51416
E02000979,E02000144,15167.56061
E02000979,E02000145,22152.79824
E02000979,E02000146,16475.32393
E02000979,E02000147,14798.59568
E02000979,E02000148,18034.78507
E02000979,E02000149,20426.47731
E02000979,E02000150,14222.96911
E02000979,E02000151,19427.83092
E02000979,E02000152,18018.80044
E02000979,E02000153,16355.19368
E02000979,E02000154,20761.18458
E02000979,E02000155,21854.16515
E02000979,E02000156,16008.33726
E02000979,E02000157,20180.44553
E02000979,E02000158,22536.22901
E02000979,E02000159,19335.30944
E02000979,E02000160,17952.03978
E02000979,E02000161,21841.15849
E02000979,E02000162,22347.69954
E02000979,E02000163,24042.63543
E02000979,E02000165,23139.5002
E02000979,E02000166,7495.449545
E02000979,E02000167,7528.240019
E02000979,E02000168,6308.414646
E02000979,E02000169,7382.408884
E02000979,E02000170,7702.376207
E02000979,E02000171,6210.161093
E02000979,E02000172,5750.747173
E02000979,E02000173,6333.450783
E02000979,E02000174,5525.593684
E02000979,E02000175,6806.220315
E02000979,E02000176,5900.50581
E02000979,E02000177,5382.044196
E02000979,E02000178,6996.165536
E02000979,E02000179,5507.083632
E02000979,E02000180,5058.737267
E02000979,E02000181,6197.349791
E02000979,E02000182,5339.907019
E02000979,E02000183,4782.903913
E02000979,E02000184,4503.757074
E02000979,E02000185,5800.243858
E02000979,E02000186,3865.775481
E02000979,E02000187,3919.649102
E02000979,E02000188,3354.725934
E02000979,E02000189,3409.418378
E02000979,E02000190,3121.843025
E02000979,E02000191,2617.384148
E02000979,E02000192,2922.641482
E02000979,E02000193,2336.858123
E02000979,E02000194,9834.73956
E02000979,E02000195,9437.395354
E02000979,E02000196,9982.762907
E02000979,E02000197,10309.98531
E02000979,E02000198,10623.02915
E02000979,E02000199,11070.06779
E02000979,E02000200,11317.68515
E02000979,E02000201,11909.52051
E02000979,E02000202,11216.44211
E02000979,E02000203,11632.46767
E02000979,E02000204,11651.42301
E02000979,E02000206,12424.55236
E02000979,E02000207,13156.39175
E02000979,E02000208,12434.67009
E02000979,E02000209,12449.6486
E02000979,E02000210,13277.08104
E02000979,E02000211,14238.03814
E02000979,E02000212,13250.62218
E02000979,E02000213,13280.15273
E02000979,E02000214,14102.86144
E02000979,E02000215,13823.56509
E02000979,E02000216,14925.59587
E02000979,E02000217,14157.85951
E02000979,E02000218,15933.00654
E02000979,E02000219,16059.67332
E02000979,E02000220,14730.26108
E02000979,E02000221,15646.54782
E02000979,E02000222,16020.6629
