index,Orig,Dest,Dist
929918,E02000979,E02000001,3431.794874
929919,E02000979,E02000002,21445.84086
929920,E02000979,E02000003,20891.81986
929921,E02000979,E02000004,22498.82935
929922,E02000979,E02000005,20490.94575
929923,E02000979,E02000007,21290.58821
929924,E02000979,E02000008,19651.155
929925,E02000979,E02000009,18493.1561
929926,E02000979,E02000010,20339.9238
929927,E02000979,E02000011,21691.08809
929928,E02000979,E02000012,16952.41992
929929,E02000979,E02000013,18502.10786
929930,E02000979,E02000014,19869.03246
929931,E02000979,E02000015,21042.00975
929932,E02000979,E02000016,15245.17412
929933,E02000979,E02000017,16058.1052
929934,E02000979,E02000018,17649.39449
929935,E02000979,E02000019,18968.40534
929936,E02000979,E02000020,16843.58184
929937,E02000979,E02000021,20206.60553
929938,E02000979,E02000022,15349.14979
929939,E02000979,E02000023,17456.22446
929940,E02000979,E02000024,18325.58971
929941,E02000979,E02000025,17671.97746
929942,E02000979,E02000026,16640.1051
929943,E02000979,E02000027,16981.34423
929944,E02000979,E02000028,16448.23106
929945,E02000979,E02000029,16090.49968
929946,E02000979,E02000030,16815.46615
929947,E02000979,E02000031,15142.0625
929948,E02000979,E02000032,14752.3331
929949,E02000979,E02000033,14212.77568
929950,E02000979,E02000034,13937.15939
929951,E02000979,E02000035,14118.15075
929952,E02000979,E02000036,16446.61503
929953,E02000979,E02000037,17780.94878
929954,E02000979,E02000038,13049.45184
929955,E02000979,E02000039,14950.99407
929956,E02000979,E02000040,14381.04356
929957,E02000979,E02000041,15944.83428
929958,E02000979,E02000042,12918.16404
929959,E02000979,E02000043,13446.89312
929960,E02000979,E02000044,14897.41487
929961,E02000979,E02000045,12021.46342
929962,E02000979,E02000046,12038.68101
929963,E02000979,E02000047,14558.41478
929964,E02000979,E02000048,12916.96381
929965,E02000979,E02000049,13858.40378
929966,E02000979,E02000050,11559.0193
929967,E02000979,E02000051,11515.85495
929968,E02000979,E02000052,10573.02356
929969,E02000979,E02000053,13072.2219
929970,E02000979,E02000054,12425.87971
929971,E02000979,E02000055,11677.2048
929972,E02000979,E02000056,9646.098002
929973,E02000979,E02000057,10994.69923
929974,E02000979,E02000058,10257.3947
929975,E02000979,E02000059,11666.61663
929976,E02000979,E02000060,10259.8858
929977,E02000979,E02000061,8954.311725
929978,E02000979,E02000062,9927.181313
929979,E02000979,E02000063,9182.223802
929980,E02000979,E02000064,8299.596957
929981,E02000979,E02000065,18793.74593
929982,E02000979,E02000066,18413.04956
929983,E02000979,E02000067,19876.23681
929984,E02000979,E02000068,21161.17292
929985,E02000979,E02000069,20524.43851
929986,E02000979,E02000070,18738.62387
929987,E02000979,E02000071,20361.92496
929988,E02000979,E02000072,23271.00641
929989,E02000979,E02000073,18409.30331
929990,E02000979,E02000074,21906.13995
929991,E02000979,E02000075,19609.97119
929992,E02000979,E02000077,17630.76695
929993,E02000979,E02000078,21293.79961
929994,E02000979,E02000079,19579.82557
929995,E02000979,E02000080,17210.23742
929996,E02000979,E02000081,20976.51271
929997,E02000979,E02000082,16195.02283
929998,E02000979,E02000083,22560.46515
929999,E02000979,E02000084,18917.78384
930000,E02000979,E02000085,17912.53547
930001,E02000979,E02000086,17234.85618
930002,E02000979,E02000087,20919.27267
930003,E02000979,E02000088,19091.91785
930004,E02000979,E02000089,16803.41674
930005,E02000979,E02000090,17807.76389
930006,E02000979,E02000091,18918.75223
930007,E02000979,E02000092,20649.3362
930008,E02000979,E02000093,14319.54489
930009,E02000979,E02000094,13207.14463
930010,E02000979,E02000095,13876.58647
930011,E02000979,E02000096,14839.92025
930012,E02000979,E02000097,12484.40286
930013,E02000979,E02000098,13364.36746
930014,E02000979,E02000099,13984.02019
930015,E02000979,E02000100,15051.34991
930016,E02000979,E02000101,12023.49562
930017,E02000979,E02000102,11046.03105
930018,E02000979,E02000103,9997.340954
930019,E02000979,E02000104,13022.87876
930020,E02000979,E02000105,14108.85349
930021,E02000979,E02000106,10371.93379
930022,E02000979,E02000107,8678.069851
930023,E02000979,E02000108,14734.5453
930024,E02000979,E02000109,11761.28055
930025,E02000979,E02000110,9059.985139
930026,E02000979,E02000111,13194.19736
930027,E02000979,E02000112,11912.49697
930028,E02000979,E02000113,10538.74518
930029,E02000979,E02000114,8436.186293
930030,E02000979,E02000115,7614.956074
930031,E02000979,E02000116,8778.695638
930032,E02000979,E02000117,9499.594338
930033,E02000979,E02000118,11822.79364
930034,E02000979,E02000119,10314.28359
930035,E02000979,E02000120,6477.401556
930036,E02000979,E02000121,12396.83713
930037,E02000979,E02000122,7569.653301
930038,E02000979,E02000123,8773.987956
930039,E02000979,E02000124,6677.605709
930040,E02000979,E02000125,7656.370518
930041,E02000979,E02000126,5762.234779
930042,E02000979,E02000127,14169.84122
930043,E02000979,E02000128,16686.85946
930044,E02000979,E02000130,10793.25905
930045,E02000979,E02000131,9937.616914
930046,E02000979,E02000132,11845.20669
930047,E02000979,E02000133,16660.34612
