id,AvPTAI2015,PTAL
E02000001,11.76747399,3
E02000002,3.675595,1b
E02000003,3.675595,1b
E02000004,3.600575,1b
E02000005,8.159091,2
E02000007,5.287879,2
E02000008,5.447154,2
E02000009,6.007634,2
E02000010,7.797101,2
E02000011,3.600575,1b
E02000012,8.902439,2
E02000013,5.455026,2
E02000014,4.162921,1b
E02000015,4.551402,1b
E02000016,25.44186,6a
E02000017,25.44186,6a
E02000018,7.013423,2
E02000019,5.47541,2
E02000020,9.333333,2
E02000021,4.162921,1b
E02000022,9.333333,2
E02000023,2.528517,1b
E02006799,8.159091,2
E02000024,2.548854,1b
E02000025,2.548854,1b
E02000026,5.122995,2
E02000027,4.12,1b
E02000028,7.720721,2
E02000029,5.122995,2
E02000030,4.12,1b
E02000031,7.720721,2
E02000032,5.77709,2
E02000033,5.77709,2
E02000034,7.720721,2
E02000035,3.235429,1b
E02000036,3.332103,1b
E02000037,4.77957,1b
E02000038,6.505535,2
E02000039,3.086957,1b
E02000040,3.086957,1b
E02000041,4.77957,1b
E02000042,11.061905,3
E02000043,11.061905,3
E02000044,11.270531,3
E02000045,6.505535,2
E02000046,11.061905,3
E02000047,11.270531,3
E02000048,3.086957,1b
E02000049,6.137405,2
E02000050,6.313208,2
E02000051,6.937729,2
E02000052,4.7251,1b
E02000053,6.137405,2
E02000054,5.926316,2
E02000055,5.926316,2
E02000056,5.289641,2
E02000057,5.926316,2
E02000058,5.289641,2
E02000059,9.833828,2
E02000060,9.510067,2
E02000061,14.141479,3
E02000062,9.510067,2
E02000063,14.141479,3
E02000064,14.141479,3
E02000065,9.527986294,2
E02000066,12.36809269,3
E02000067,10.51618148,3
E02000068,11.94651299,3
E02000069,11.18543574,3
E02000070,9.627239724,2
E02000071,10.60037361,3
E02000072,9.608687756,2
E02000073,10.80099203,3
E02000074,10.44797481,3
E02000075,11.94827749,3
E02000077,11.97384192,3
E02000078,11.2705017,3
E02000079,12.54629668,3
E02000080,10.78215798,3
E02000081,10.88666089,3
E02000082,10.43611819,3
E02000083,10.81389291,3
E02000084,11.60078021,3
E02000085,9.797023781,2
E02000086,10.08088544,3
E02000087,11.21280881,3
E02000088,11.36749159,3
E02000089,11.70574155,3
E02000090,11.38381752,3
E02000091,10.24255623,3
E02000092,12.15167145,3
E02006785,11.05876569,3
E02000093,7.788177,2
E02000094,5.187266,2
E02000095,6.451327,2
E02000096,6.451327,2
E02000097,5.296137,2
E02000098,6.592593,2
E02000099,8.843882,2
E02000100,7.528302,2
E02000101,6.592593,2
E02000102,5.876068,2
E02000103,5.876068,2
E02000104,8.843882,2
E02000105,9.336538,2
E02000106,10.094118,3
E02000107,13.20979,3
E02000108,9.336538,2
E02000109,9.864286,2
E02000110,10.094118,3
E02000111,14.701863,3
E02000112,14.701863,3
E02000113,8.007407,2
E02000114,12.352941,3
E02000115,11.188235,3
E02000116,12.352941,3
E02000117,12,3
E02000118,7.663415,2
E02000119,8.007407,2
E02000120,21.11828,5
E02000121,14.701863,3
E02000122,11.188235,3
E02000123,12,3
E02000124,17.437086,4
E02000125,14.070175,3
E02000126,21.11828,5
E02000127,4.119342,1b
E02000128,2.901341,1b
E02000130,11.905405,3
E02000131,14.25,3
E02000132,8.605422,2
E02000133,2.901341,1b
E02000134,5.167082,2
E02000135,11.905405,3
E02000136,4.635443,1b
E02000137,8.605422,2
E02000138,8.605422,2
E02000139,12.892241,3
E02000140,4.635443,1b
E02000141,12.892241,3
E02000142,4.860656,1b
E02000144,5.161943,2
E02000145,1.601509,1a
E02000146,3.552727,1b
E02000147,5.161943,2
E02000148,4.860656,1b
E02000149,4.635443,1b
E02000150,5.216374,2
E02000151,6.87703,2
E02000152,3.552727,1b
E02000153,2.456302,1a
E02000154,6.87703,2
E02000155,6.424171,2
E02000156,3.869074,1b
E02000157,3.737892,1b
E02000158,6.424171,2
E02000159,3.552727,1b
E02000160,2.456302,1a
E02000161,1.34689,1a
E02000162,3.737892,1b
E02000163,1.34689,1a
E02000165,1.323706,1a
E02006782,5.167082,2
E02006787,12.892241,3
E02006789,1.323706,1a
E02000166,5.978395,2
E02000167,7.838057,2
E02000168,21.640777,5
E02000169,15.890323,4
E02000170,14.74,3
E02000171,13.671429,3
E02000172,18.694444,4
E02000173,15.890323,4
E02000174,21.640777,5
E02000175,25.252874,6a
E02000176,13.671053,3
E02000177,18.694444,4
E02000178,25.252874,6a
E02000179,13.671053,3
E02000180,17.527027,4
E02000181,22.296,5
E02000182,22.296,5
E02000183,25.092437,6a
E02000184,25.092437,6a
E02000185,21.73913,5
E02000186,31.725926,6a
E02000187,45.84058,6b
E02000188,31.725926,6a
E02000189,65.728814,6b
E02000190,65.728814,6b
E02000191,65.543689,6b
E02000192,63.05042,6b
E02000193,63.05042,6b
E02000194,11.05544153,3
E02000195,9.693457438,2
E02000196,11.09948341,3
E02000197,9.963625614,2
E02000198,11.47154023,3
E02000199,12.29210311,3
E02000200,12.19264793,3
E02000201,12.41552499,3
E02000202,11.9777058,3
E02000203,11.70489449,3
E02000204,11.28336713,3
E02000206,11.91242357,3
E02000207,9.430492164,2
E02000208,9.512724902,2
E02000209,10.0067073,3
E02000210,11.82544742,3
E02000211,9.939936416,2
E02000212,11.26994694,3
E02000213,10.74868864,3
E02000214,12.117595,3
E02000215,10.77216796,3
E02000216,11.59491518,3
E02000217,11.4584151,3
E02000218,10.77768277,2
E02000219,11.71197876,3
E02000220,11.01118744,3
E02000221,12.14687111,3
E02000222,12.00232069,3
E02000223,10.27719375,3
E02000224,12.06054279,2
E02000225,9.527817374,2
