id,before 1929,1930-1964,1965-1992,1993-2015,before 2015
E02000001,1520,530,3050,1540,"6,680"
E02000002,40,2050,470,220,"2,770"
E02000003,1250,2120,380,220,"3,970"
E02000004,40,1750,123,483,"2,380"
E02000005,2040,1080,110,60,"3,290"
E02000007,403,2060,870,260,"3,590"
E02000008,4050,170,250,223,"4,710"
E02000009,2500,310,280,1020,"4,110"
E02000010,3003,20,60,313,"3,400"
E02000011,320,1720,180,190,"2,420"
E02000012,90,2910,60,273,"3,330"
E02000013,2833,320,0,90,"3,230"
E02000014,3343,50,130,93,"3,590"
E02000015,430,1000,1100,700,"3,250"
E02000016,390,490,1063,1430,"3,390"
E02000017,1710,673,110,330,"2,820"
E02000018,2290,580,60,410,"3,340"
E02000019,2130,330,6,650,"3,110"
E02000020,1290,1400,330,950,"3,960"
E02000021,633,1820,373,173,"3,010"
E02000022,183,313,2010,770,"3,290"
E02000023,6,1643,180,690,"2,520"
E02000024,2440,980,520,440,"4,400"
E02000025,920,1280,1150,370,"3,730"
E02000026,350,1510,540,170,"2,570"
E02000027,450,1730,1210,390,"3,780"
E02000028,450,1300,540,310,"2,600"
E02000029,1170,1460,620,320,"3,580"
E02000030,610,2100,570,230,"3,550"
E02000031,890,1090,910,170,"3,070"
E02000032,36,2560,33,143,"2,770"
E02000033,660,1670,500,560,"3,390"
E02000034,1240,1740,360,160,"3,510"
E02000035,830,1360,1000,360,"3,580"
E02000036,126,2820,720,360,"4,030"
E02000037,170,2120,360,790,"3,440"
E02000038,1850,1120,320,863,"4,150"
E02000039,970,1070,270,310,"2,630"
E02000040,640,1410,210,550,"2,810"
E02000041,1360,1520,130,250,"3,270"
E02000042,2420,770,770,540,"4,530"
E02000043,1100,1420,170,50,"2,740"
E02000044,2140,350,120,440,"3,020"
E02000045,1260,1060,1130,710,"4,180"
E02000046,2130,370,290,120,"2,920"
E02000047,2033,650,910,530,"4,140"
E02000048,1070,1420,460,990,"3,950"
E02000049,0,23,2450,880,"3,360"
E02000050,1990,500,860,630,"3,980"
E02000051,1400,1290,740,340,"3,780"
E02000052,2280,810,750,420,"4,250"
E02000053,430,1050,920,2710,"5,150"
E02000054,1110,920,540,380,"2,950"
E02000055,2130,1110,1010,250,"4,500"
E02000056,1060,2190,130,203,"3,580"
E02000057,1490,790,230,160,"2,660"
E02000058,3320,550,190,63,"4,140"
E02000059,1320,950,1470,530,"4,270"
E02000060,2680,570,290,200,"3,750"
E02000061,2490,240,500,370,"3,620"
E02000062,1210,680,220,303,"2,410"
E02000063,763,1293,170,483,"2,720"
E02000064,950,1040,410,160,"2,570"
E02000065,0,30,2220,610,"2,860"
E02000066,100,350,3290,150,"3,900"
E02000067,1310,1190,970,450,"3,920"
E02000068,990,390,660,1240,"3,290"
E02000069,670,840,1020,53,"2,580"
E02000070,310,2280,580,63,"3,240"
E02000071,830,1560,190,400,"2,980"
E02000072,830,1380,980,1290,"4,500"
E02000073,30,3940,43,36,"4,030"
E02000074,80,1860,1160,360,"3,460"
E02000075,70,2990,113,9,"3,200"
E02000077,540,2220,73,140,"2,990"
E02000078,1010,1930,140,36,"3,110"
E02000079,1070,1690,430,200,"3,410"
E02000080,500,2950,200,180,"3,830"
E02000081,260,2190,640,210,"3,310"
E02000082,130,3170,100,50,"3,450"
E02000083,1570,1540,590,680,"4,470"
E02000084,740,2660,630,190,"4,280"
E02000085,36,2910,160,53,"3,180"
E02000086,83,2200,470,90,"2,840"
E02000087,660,1720,660,310,"3,410"
E02000088,13,2780,200,53,"3,060"
E02000089,310,2350,240,70,"2,970"
E02000090,1190,830,1780,330,"4,240"
E02000091,730,1870,1360,430,"4,480"
E02000092,180,1840,510,220,"2,800"
E02000093,280,2580,103,520,"3,490"
E02000094,83,2270,173,310,"2,820"
E02000095,143,2690,160,240,"3,210"
E02000096,153,2090,233,120,"2,590"
E02000097,283,2600,40,56,"2,980"
E02000098,333,1850,260,450,"2,880"
E02000099,350,1373,370,730,"2,810"
E02000100,223,1880,110,310,"2,530"
E02000101,170,1640,840,780,"3,430"
